Zip,Median Total,Median  Owner occupied,Median  Renter occupied
89439,89606.40000000001,61964,24250
90001,37750.44,32703,20000
90002,34755.24,32729,16621
90003,34630.44,34254,17217
90004,42818.880000000005,66429,23854
90005,34185.840000000004,62348,20576
90006,31767.84,45731,19167
90007,27250.08,45556,15291
90008,47238.36,61433,21485
90010,49445.76,83581,24781
90011,37755.12,38966,20864
90012,31037.760000000002,36121,17745
90013,13941.720000000001,17768,8897
90014,13650.0,"200,000+",8706
90015,28090.920000000002,47292,16202
90016,44846.880000000005,45105,22459
90017,22910.16,22679,14652
90018,36252.840000000004,41089,18254
90019,48147.840000000004,57715,24994
90020,37661.520000000004,53859,22475
90021,18074.16,80164,10373
90022,42464.76,39505,22730
90023,42449.16,40575,23219
90024,73093.8,94814,30506
90025,74128.08,75836,42032
90026,45230.64,51055,24699
90027,49121.28,76446,26650
90028,34110.96,38625,21539
90029,34190.520000000004,38607,21192
90031,38945.4,40446,20834
90032,50629.8,45000,24766
90033,34502.520000000004,35231,19984
90034,57844.8,66516,33573
90035,79221.48,82843,41225
90036,75323.04000000001,81411,44234
90037,31657.08,35256,16154
90038,36494.64,48516,22022
90039,71611.8,62577,34946
90040,51958.92,46121,23642
90041,75070.32,68870,32356
90042,55462.68,51506,26445
90043,52036.92,51609,19632
90044,34277.880000000005,35445,17125
90045,88035.48,79196,40076
90046,58545.240000000005,82594,31763
90047,54005.64,45602,21083
90048,73376.16,68340,42302
90049,130696.8,130022,58440
90056,112422.96,105916,42031
90057,30855.24,33906,19403
90058,28911.48,27083,17935
90059,34934.64,35455,15521
90061,40920.36,38815,19149
90062,42851.64,38248,19248
90063,46706.4,42288,23812
90064,93317.64,85350,41953
90065,59251.920000000006,56164,26507
90066,70675.8,69614,36373
90067,116790.96,79054,42361
90068,83931.12000000001,89085,36347
90069,80152.8,78282,41401
90071,0.0,0,0
90077,220546.56,153507,82152
900HH,0.0,0,0
90201,46155.72,43767,26487
90210,175652.88,168511,42778
90211,92169.48,85471,49231
90212,93066.48,114833,50402
90220,52210.08,42242,20281
90221,48615.840000000004,44228,21142
90222,45452.16,37632,20955
90230,80684.76000000001,64954,39495
90232,73026.72,69203,36536
90240,86336.64,65924,34471
90241,66264.12,60635,33914
90242,67705.56,55634,35265
90245,94958.76000000001,77610,51332
90247,54695.16,50528,29147
90248,67654.08,48272,34250
90249,67220.40000000001,59573,25844
90250,52094.64,58465,27136
90254,126673.56,106448,66351
90255,47331.96,49795,24570
90260,62827.44,52339,33831
90261,0.0,0,0
90262,55273.92,48276,25639
90263,0.0,0,0
90265,155059.32,114200,65250
90266,157369.68,115104,77554
90270,47893.560000000005,49446,25083
90272,189387.12,135792,71202
90274,182889.72,121082,86984
90275,148558.80000000002,101956,70525
90277,105290.64,88403,55770
90278,108040.92,85259,51905
90280,55029.0,48053,26873
90290,135083.52000000002,103287,47171
90291,70696.08,71575,39762
90292,111739.68000000001,95399,64881
90293,102638.64,83515,52354
902HH,0.0,0,0
90301,48087.0,46723,25244
90302,50441.04,48820,27978
90303,52639.08,54593,25044
90304,44943.6,45600,22587
90305,71139.12,58658,28190
90401,55944.72,62153,34447
90402,181323.48,164184,61380
90403,84809.40000000001,85602,47435
90404,61435.920000000006,61840,35322
90405,78380.64,83950,39603
904HH,0.0,0,0
90501,65713.44,64970,31852
90502,75787.92,53107,41375
90503,89631.36,74415,44177
90504,78497.64,65088,34979
90505,94840.2,78337,46706
90601,81065.40000000001,65818,37534
90602,63619.920000000006,66563,31484
90603,92465.88,67288,41424
90604,76642.8,58148,35954
90605,78728.52,58478,35995
90606,70171.92,51235,30674
90620,90537.72,63337,45540
90621,64534.08,62638,32873
90623,108577.56,83171,38846
90630,98989.8,74248,42350
90631,79081.08,65714,35609
90638,95743.44,65674,31995
90640,60150.48,55059,29400
90650,71800.56,52128,33806
90660,64997.4,48441,28640
90670,71218.68000000001,53893,30362
90680,64156.560000000005,53429,30654
906HH,0.0,0,0
90701,69853.68000000001,54051,36758
90703,113777.04000000001,79462,48354
90704,63038.04,55568,35667
90706,60980.4,55842,31754
90710,66632.28,61343,26056
90712,92603.16,65438,43218
90713,99041.28,66075,49548
90715,75970.44,62139,38008
90716,55263.0,46136,27500
90717,65460.72,64269,33407
90720,101910.12000000001,84275,50061
90723,57128.76,45957,30768
90731,55974.36,60071,28455
90732,99911.76000000001,72006,45328
90740,65443.560000000005,38623,51680
90742,102863.28,65833,66042
90743,96720.0,106463,61250
90744,46658.04,45099,23492
90745,78937.56,56991,35815
90746,92448.72,61864,41985
907HH,0.0,0,0
907XX,0.0,0,0
90802,40608.36,44685,23045
90803,93745.08,90658,48406
90804,46681.44,56153,25510
90805,50241.36,48933,22789
90806,48812.4,54857,22189
90807,78063.96,71403,36369
90808,100317.36,67864,50538
90810,58152.12,51374,23991
90813,31231.2,37136,18341
90814,65654.16,73029,36394
90815,93852.72,70241,42982
90822,0.0,0,0
908HH,0.0,0,0
91001,97423.56,74245,37383
91006,91965.12000000001,67549,41548
91007,80862.6,68024,38313
91010,78258.96,59172,31819
91011,167707.80000000002,114407,55707
91016,73252.92,62948,34462
91020,63900.72,58214,35588
91024,102367.2,84682,45190
91030,88788.96,89150,43231
91040,80088.84,61102,34564
91042,66410.76000000001,57321,31014
910HH,0.0,0,0
910XX,0.0,0,0
91101,58175.520000000004,58333,34246
91103,55428.36,60343,21615
91104,66002.04000000001,67083,28082
91105,129954.24,101624,39962
91106,72232.68000000001,79518,35616
91107,88271.04000000001,75027,37258
91108,180660.48,117615,104472
91201,59170.8,64176,28800
91202,77730.12000000001,64341,37346
91203,50316.240000000005,51602,29310
91204,50263.200000000004,54028,30327
91205,42474.12,56528,24608
91206,64875.72,66619,31785
91207,96999.24,88758,39602
91208,116663.04000000001,91213,46181
91214,99242.52,73394,41007
91301,136323.72,93924,54947
91302,144510.6,116327,53799
91303,57291.0,51026,31872
91304,74909.64,70951,32326
91306,76018.8,62624,32364
91307,114109.32,75795,56300
91311,96830.76000000001,73906,45874
91316,78004.68000000001,72033,36190
91320,122314.92,84897,56053
91321,78168.48,63958,37013
91324,78482.04000000001,70046,32131
91325,75235.68000000001,74149,30953
91326,129224.16,95684,35902
91331,60657.48,46778,26320
91335,62777.520000000004,54674,28256
91340,62838.36,48188,30290
91342,75917.40000000001,56703,30861
91343,65530.920000000006,60731,26002
91344,101613.72,73453,40940
91345,81575.52,59308,36122
91350,116098.32,80692,39854
91351,95698.2,69298,45689
91352,63588.72,53114,27040
91354,131946.36000000002,87335,54318
91355,118060.8,87645,45634
91356,80408.64,84019,31676
91360,110238.96,81684,44037
91361,131029.08,96867,54837
91362,129595.44,94608,48150
91364,121703.40000000001,92842,48148
91367,94497.0,75817,41479
91377,140541.96,99440,65000
91381,137024.16,99514,51467
91384,113894.04000000001,79724,41563
913HH,0.0,0,0
913XX,0.0,0,0
91401,55203.72,67374,27458
91402,50308.44,50897,26389
91403,84140.16,79937,40486
91405,47224.32,53738,24712
91406,58362.72,58162,29029
91411,52489.32,55261,28809
91423,81290.04000000001,85503,41490
91436,158775.24000000002,113177,41458
91501,67739.88,65221,36263
91502,45066.840000000004,60000,27032
91504,85497.36,69529,36049
91505,80124.72,65313,41402
91506,78271.44,65667,37003
91601,49333.44,53166,27838
91602,74742.72,77328,40991
91604,93531.36,89452,46900
91605,50320.92,51862,24157
91606,49146.240000000005,45454,27041
91607,63499.8,64978,33609
91608,0.0,0,0
91701,103335.96,73291,38833
91702,64988.04,53423,31135
91706,65019.240000000005,50024,30522
91709,121433.52,83012,51361
91710,84530.16,65603,34464
91711,103835.16,83874,35817
91719,37900.200000000004,24567,23750
91722,78859.56,57892,34816
91723,66133.08,59233,31969
91724,92542.32,67175,36521
91730,77858.04000000001,58535,38650
91731,48147.840000000004,47736,24734
