,Zip_Code,Date,Sales_Count,%_Home_Increasing,%_Home_Decreasing,Price_to_Rent_Ratio,Median_Rental_Studio,Median_Rental_1B,Median_Rental_2B,Median_Rental_3B,Median_Rental_DupTrip,Median_Rental_SingleFam,Median_Listing_2B,Median_Listing_3B,Median_Listing_5B+,Median_Listing_DupTrip,Median_Listing_SingleFam,Median_Sold_Condo,Median_Sold_SingleFam,Home_Value_1B,Home_Value_2B,Home_Value_3B,Home_Value_4B,Home_Value_5B+,Home_Value_DupTrip,Home_Value_SingleFam
0,90004,2008-03-31,17.0,41.08,51.36,,,,,,,,,,,,,,517.82424611636,520493.0,638892.0,485892.0,551703.0,890946.0,582046.0,474776.0
1,90004,2008-04-30,14.0,34.4,58.02,,,,,,,,,,,,,,,512135.0,625507.0,479314.0,547857.0,887622.0,569888.0,469593.0
2,90004,2008-05-31,20.0,28.38,63.34,,,,,,,,,,,,,,,502388.0,611155.0,472543.0,544461.0,886699.0,557964.0,463972.0
3,90004,2008-06-30,18.0,23.93,68.38,,,,,,,,,,,,,,,495376.0,602051.0,468200.0,545403.0,894775.0,548625.0,460999.0
4,90004,2008-07-31,22.0,20.28,72.05,,,,,,,,,,,,,,571.07170050761,487741.0,593275.0,464770.0,544543.0,898577.0,539254.0,458369.0
5,90004,2008-08-31,22.0,19.62,74.02,,,,,,,,,,,,,,,479632.0,587570.0,460672.0,541609.0,898009.0,529997.0,455175.0
6,90004,2008-09-30,17.0,15.98,77.93,,,,,,,,,,,,,,,473370.0,582975.0,457105.0,536596.0,890239.0,523391.0,451539.0
7,90004,2008-10-31,21.0,13.34,81.39,,,,,,,,,,,,,,,466933.0,577594.0,449935.0,534453.0,883528.0,516830.0,448843.0
8,90004,2008-11-30,15.0,10.87,84.35,,,,,,,,,,,,,358.97065217390997,,461536.0,567843.0,441988.0,531990.0,878923.0,511189.0,445572.0
9,90004,2008-12-31,12.0,8.75,86.64,,,,,,,,,,,,,,,450510.0,551310.0,429885.0,527523.0,866721.0,499825.0,438243.0
10,90004,2009-01-31,12.0,9.58,86.35,,,,,,,,,,,,,,,445247.0,538250.0,423413.0,525700.0,860264.0,490974.0,432925.0
11,90004,2009-02-28,12.0,10.28,85.79,,,,,,,,,,,,,,,440575.0,528686.0,419872.0,527802.0,860719.0,484418.0,430699.0
12,90004,2009-03-31,13.0,11.51,84.75,,,,,,,,,,,,,,,437792.0,525629.0,421432.0,531518.0,865420.0,479871.0,433214.0
13,90004,2009-04-30,17.0,12.16,84.14,,,,,,,,,,,,,,,431592.0,519725.0,420396.0,532677.0,871059.0,475448.0,432574.0
14,90004,2009-05-31,7.0,13.41,82.71,,,,,,,,,,,,,,,426903.0,514581.0,418470.0,532469.0,872434.0,470193.0,431409.0
15,90004,2009-06-30,22.0,11.69,84.75,,,,,,,,,,,,,,428.99408284024,421277.0,506490.0,417964.0,534362.0,878646.0,467221.0,431784.0
16,90004,2009-07-31,19.0,11.41,85.79,,,,,,,,,,,,,,,418124.0,502118.0,420790.0,539147.0,888531.0,465911.0,436216.0
17,90004,2009-08-31,17.0,10.85,86.38,,,,,,,,,,,,,,,419052.0,499597.0,425517.0,545476.0,904319.0,467342.0,442023.0
18,90004,2009-09-30,26.0,11.55,84.92,,,,,,,,,,,,,,571.88689217759,422370.0,500380.0,429194.0,551006.0,918060.0,467963.0,446399.0
19,90004,2009-10-31,17.0,12.42,84.31,,,,,,,,,,,,,,,424273.0,502681.0,434041.0,555777.0,933738.0,468385.0,450077.0
20,90004,2009-11-30,15.0,12.21,84.45,,,,,,,,,,,,,,,424612.0,504637.0,438719.0,562220.0,950014.0,467314.0,453873.0
21,90004,2009-12-31,18.0,13.2,82.71,,,,,,,,,,,,,,,426218.0,508603.0,443747.0,568507.0,969893.0,467495.0,458547.0
22,90004,2010-01-31,24.0,11.79,83.65,,,,,,,,,,,,,,,423526.0,509440.0,447427.0,572721.0,983594.0,466846.0,461718.0
23,90004,2010-02-28,8.0,13.72,81.46,,,,,,,,,,,,,,,418512.0,506905.0,444863.0,570547.0,986333.0,464284.0,459414.0
24,90004,2010-03-31,15.0,15.46,78.75,,,,,,,,,,,,,,,414952.0,505006.0,443348.0,570735.0,993811.0,465298.0,457583.0
25,90004,2010-04-30,14.0,16.87,75.67,,,,,,,,,,,,,,,414103.0,505686.0,444003.0,574808.0,998568.0,465312.0,459745.0
26,90004,2010-05-31,13.0,20.42,70.59,,,,,,,,,,,,,,,416199.0,510491.0,450616.0,582016.0,1012581.0,468996.0,466606.0
27,90004,2010-06-30,21.0,26.16,62.89,,,,,,,,,,,,,,502.0834665813901,413556.0,508975.0,450776.0,579773.0,1008651.0,465273.0,467041.0
28,90004,2010-07-31,24.0,25.98,63.08,,,,,,,,,,,,,,,410056.0,503438.0,446283.0,575659.0,1010620.0,460813.0,462176.0
29,90004,2010-08-31,20.0,27.25,60.73,,,,,,,,,,,,,,464.1998,404254.0,496460.0,440510.0,572684.0,1004764.0,454677.0,456429.0
30,90004,2010-09-30,15.0,32.47,56.31,,,,,,,,,,,,,,,395956.0,488055.0,439183.0,576238.0,1007358.0,449224.0,455342.0
31,90004,2010-10-31,17.0,31.86,57.06,20.01,,,,,,,,,,,,,,389107.0,480081.0,439738.0,578468.0,1005084.0,444244.0,455961.0
32,90004,2010-11-30,11.0,32.19,57.2,19.85,,,,,,,,,,,,,,380398.0,472038.0,439194.0,578855.0,1002598.0,438891.0,455750.0
33,90004,2010-12-31,20.0,30.82,58.38,19.69,,,,,,,,,,,,,,376492.0,469013.0,439784.0,579430.0,1003132.0,436585.0,456394.0
34,90004,2011-01-31,12.0,28.4,60.56,19.56,,,,,,,,,,,,,,372372.0,467095.0,439765.0,580716.0,1005239.0,434861.0,457472.0
