Zip_Code,Date,Sales_Count,%_Home_Increasing,%_Home_Decreasing,Price_to_Rent_Ratio,Median_Rental_Studio,Median_Rental_1B,Median_Rental_2B,Median_Rental_3B,Median_Rental_DupTrip,Median_Rental_SingleFam,Median_Listing_2B,Median_Listing_3B,Median_Listing_5B+,Median_Listing_DupTrip,Median_Listing_SingleFam,Median_Sold_Condo,Median_Sold_SingleFam,Home_Value_1B,Home_Value_2B,Home_Value_3B,Home_Value_4B,Home_Value_5B+,Home_Value_DupTrip,Home_Value_SingleFam
90601,2008-03-31,15.0,4.57,92.21,,,,,,,,,,,,,,,276391.0,399060.0,493052.0,582574.0,654914.0,352665.0,525791.0
90601,2008-04-30,12.0,4.78,91.6,,,,,,,,,,,,,,,267932.0,388093.0,479152.0,568200.0,637800.0,343093.0,511518.0
90601,2008-05-31,22.0,4.13,92.53,,,,,,,,,,,,,,,259171.0,375633.0,465380.0,552788.0,618928.0,331934.0,497051.0
90601,2008-06-30,15.0,3.32,93.92,,,,,,,,,,,,,,,250520.0,364891.0,453872.0,538629.0,603473.0,323299.0,484133.0
90601,2008-07-31,17.0,1.61,96.34,,,,,,,,,,,,,,,241830.0,353806.0,443732.0,526702.0,590630.0,314383.0,473235.0
90601,2008-08-31,18.0,1.14,97.55,,,,,,,,,,,,,,263.74665676077,233815.0,343460.0,435744.0,517283.0,580419.0,306132.0,464506.0
90601,2008-09-30,16.0,0.54,98.75,,,,,,,,,,,,,,,227182.0,334543.0,430689.0,510766.0,572913.0,297340.0,459043.0
90601,2008-10-31,27.0,0.28,99.33,,,,,,,,,,,,,,,221310.0,326041.0,426174.0,504498.0,567809.0,289879.0,453815.0
90601,2008-11-30,12.0,0.17,99.71,,,,,,,,,,,,,,,214952.0,318653.0,419836.0,496918.0,561337.0,281688.0,447292.0
90601,2008-12-31,19.0,0.18,99.69,,,,,,,,,,,,,,,206925.0,308908.0,409164.0,485063.0,549863.0,272572.0,436550.0
90601,2009-01-31,18.0,0.43,99.29,,,,,,,,,,,,,,,202233.0,302526.0,400819.0,474655.0,540636.0,265320.0,427670.0
90601,2009-02-28,19.0,0.4,99.4,,,,,,,,,,,,,,,199288.0,297368.0,395870.0,466715.0,534387.0,260391.0,421462.0
90601,2009-03-31,18.0,0.31,99.64,,,,,,,,,,,,,,,197105.0,293662.0,392800.0,461359.0,530168.0,257161.0,417219.0
90601,2009-04-30,17.0,0.33,99.57,,,,,,,,,,,,,,,193699.0,288613.0,389292.0,457122.0,526760.0,253120.0,412924.0
90601,2009-05-31,20.0,0.39,99.51,,,,,,,,,,,,,,225.00166666667,189899.0,284772.0,385434.0,454507.0,527026.0,250067.0,409045.0
90601,2009-06-30,18.0,0.46,99.3,,,,,,,,,,,,,,,187511.0,280578.0,380941.0,453685.0,528279.0,245928.0,405486.0
90601,2009-07-31,23.0,0.56,98.9,,,,,,,,,,,,,,257.833,185543.0,278817.0,377674.0,453374.0,529833.0,243706.0,402933.0
